X, Y, Pressure, TiltX, TiltY, Time
531.0975,321.733333333333,0.392578125,9000,9000,00:03.3213057
530.2425,322.493333333333,0.43359375,9000,9000,00:03.3356026
529.3875,327.433333333333,0.4345703125,9000,9000,00:03.3509998
528.2475,333.513333333333,0.4306640625,9000,9000,00:03.3651209
523.6875,347.7,0.42578125,9000,9000,00:03.3756180
521.1225,353.526666666667,0.4228515625,9000,9000,00:03.3918712
517.4175,360.62,0.421875,9000,9000,00:03.3955146
510.0075,375.44,0.43359375,9000,9000,00:03.4007588
506.0175,383.673333333333,0.44921875,9000,9000,00:03.4267003
497.61,399.633333333333,0.4658203125,9000,9000,00:03.4530067
485.355,425.6,0.478515625,9000,9000,00:03.4694505
470.82,453.34,0.4921875,9000,9000,00:03.4825537
461.7,471.326666666667,0.4970703125,9000,9000,00:03.4825537
456.855,479.94,0.4990234375,9000,9000,00:03.5133720
452.7225,486.78,0.4990234375,9000,9000,00:03.5287266
442.035,505.526666666667,0.5029296875,9000,9000,00:03.5417391
437.475,514.773333333333,0.515625,9000,9000,00:03.5459240
435.6225,518.7,0.5400390625,9000,9000,00:03.5601140
434.34,521.866666666667,0.55078125,9000,9000,00:03.5630966
433.6275,524.4,0.556640625,9000,9000,00:03.5736863
434.4825,527.946666666667,0.564453125,9000,9000,00:03.5764597
435.3375,529.34,0.5673828125,9000,9000,00:03.5920915
440.1825,530.606666666667,0.56640625,9000,9000,00:03.6034130
444.1725,531.24,0.5703125,9000,9000,00:03.6172474
453.0075,531.24,0.578125,9000,9000,00:03.6224386
458.7075,531.113333333333,0.580078125,9000,9000,00:03.6385455
464.6925,530.986666666667,0.5771484375,9000,9000,00:03.6560310
484.0725,530.353333333333,0.5771484375,9000,9000,00:03.6777444
510.435,529.213333333333,0.578125,9000,9000,00:03.6948179
531.0975,528.073333333333,0.5771484375,9000,9000,00:03.7115879
552.7575,526.68,0.57421875,9000,9000,00:03.7280535
587.8125,523.386666666667,0.5703125,9000,9000,00:03.7585030
636.2625,518.7,0.5615234375,9000,9000,00:03.7714742
662.055,517.433333333333,0.583984375,9000,9000,00:03.7734636
674.88,516.926666666667,0.6005859375,9000,9000,00:03.7870586
688.845,516.293333333333,0.6083984375,9000,9000,00:03.7901340
701.67,515.66,0.611328125,9000,9000,00:03.8035075
714.495,515.153333333333,0.61328125,9000,9000,00:03.8214294
738.8625,514.393333333333,0.6162109375,9000,9000,00:03.8439649
772.35,513.633333333333,0.609375,9000,9000,00:03.8489446
782.325,513.506666666667,0.609375,9000,9000,00:03.8590064
791.5875,513.253333333333,0.61328125,9000,9000,00:03.8640020
801.42,513,0.615234375,9000,9000,00:03.8730314
809.97,512.493333333333,0.6123046875,9000,9000,00:03.8740120
818.235,511.986666666667,0.6103515625,9000,9000,00:03.8889890
826.3575,511.353333333333,0.6162109375,9000,9000,00:03.8899718
833.34,510.72,0.6181640625,9000,9000,00:03.9048400
839.895,510.086666666667,0.6181640625,9000,9000,00:03.9497545
851.4375,508.313333333333,0.623046875,9000,9000,00:03.9553084
856.2825,507.426666666667,0.6259765625,9000,9000,00:03.9646350
869.9625,504.26,0.6318359375,9000,9000,00:03.9791736
878.655,500.84,0.6416015625,9000,9000,00:03.9831663
881.22,499.193333333333,0.65234375,9000,9000,00:03.9930948
882.7875,497.673333333333,0.65625,9000,9000,00:03.9930948
883.6425,496.28,0.66796875,9000,9000,00:04.0095625
883.5,493.113333333333,0.689453125,9000,9000,00:04.0142255
882.2175,491.086666666667,0.697265625,9000,9000,00:04.0281798
880.65,489.06,0.69921875,9000,9000,00:04.0387934
876.2325,482.98,0.701171875,9000,9000,00:04.0425570
873.525,479.433333333333,0.7021484375,9000,9000,00:04.0570979
870.39,475.76,0.712890625,9000,9000,00:04.0688414
861.27,468.793333333333,0.716796875,9000,9000,00:04.0738455
856.8525,464.486666666667,0.7158203125,9000,9000,00:04.0828157
851.7225,459.8,0.71484375,9000,9000,00:04.1039516
833.4825,447.893333333333,0.7177734375,9000,9000,00:04.1094052
826.0725,443.333333333333,0.7333984375,9000,9000,00:04.1171415
819.09,438.773333333333,0.740234375,9000,9000,00:04.1206585
812.3925,435.1,0.76171875,9000,9000,00:04.1597475
791.445,424.206666666667,0.7890625,9000,9000,00:04.1765820
770.64,411.54,0.8017578125,9000,9000,00:04.1928119
749.6925,400.646666666667,0.7900390625,9000,9000,00:04.2024784
742.14,396.973333333333,0.794921875,9000,9000,00:04.2165581
735.015,393.3,0.796875,9000,9000,00:04.2511661
715.7775,385.066666666667,0.79296875,9000,9000,00:04.2551174
710.22,382.786666666667,0.796875,9000,9000,00:04.2649172
697.2525,377.466666666667,0.7880859375,9000,9000,00:04.2760061
685.71,371.893333333333,0.791015625,9000,9000,00:04.2916821
675.165,366.953333333333,0.783203125,9000,9000,00:04.3100469
661.6275,360.24,0.779296875,9000,9000,00:04.3230122
654.075,353.78,0.78515625,9000,9000,00:04.3578011
646.95,347.193333333333,0.7880859375,9000,9000,00:04.3726851
636.975,338.453333333333,0.78515625,9000,9000,00:04.3906411
624.435,328.7,0.7802734375,9000,9000,00:04.4181972
601.065,319.453333333333,0.798828125,9000,9000,00:04.4292216
596.9325,317.806666666667,0.7900390625,9000,9000,00:04.4446057
587.385,314.26,0.7802734375,9000,9000,00:04.4766636
578.6925,310.333333333333,0.783203125,9000,9000,00:04.4897838
567.5775,304.253333333333,0.78515625,9000,9000,00:04.5213551
558.4575,300.453333333333,0.658203125,9000,9000,00:04.5243216
556.1775,299.566666666667,0.6005859375,9000,9000,00:04.5576751
582.825,257.133333333333,0.2568359375,9000,9000,00:05.6431153
582.255,256.626666666667,0.29296875,9000,9000,00:05.6596868
582.1125,256.626666666667,0.296875,9000,9000,00:05.6895145
581.8275,257.386666666667,0.287109375,9000,9000,00:05.6905243
581.5425,258.273333333333,0.2880859375,9000,9000,00:05.6944895
580.4025,260.68,0.296875,9000,9000,00:05.7198572
576.9825,267.14,0.3076171875,9000,9000,00:05.7386106
572.85,276.133333333333,0.3134765625,9000,9000,00:05.7483982
567.72,288.166666666667,0.3134765625,9000,9000,00:05.7661674
555.465,317.68,0.34375,9000,9000,00:05.7844897
545.0625,343.9,0.3759765625,9000,9000,00:05.7939302
533.52,372.273333333333,0.3916015625,9000,9000,00:05.8114182
516.135,414.453333333333,0.4033203125,9000,9000,00:05.8154056
510.435,427.5,0.4052734375,9000,9000,00:05.8244445
504.8775,439.913333333333,0.4140625,9000,9000,00:05.8583148
493.7625,462.46,0.453125,9000,9000,00:05.8609261
488.775,472.466666666667,0.46875,9000,9000,00:05.8743355
476.0925,492.86,0.5546875,9000,9000,00:05.8863643
466.4025,509.706666666667,0.564453125,9000,9000,00:05.8883595
461.8425,516.926666666667,0.5673828125,9000,9000,00:05.9003255
