X, Y, Pressure, TiltX, TiltY, Time
680.7225,591.913333333333,0.396240234375,6858,5047,00:02.6439398
680.58,592.166666666667,0.420654296875,6858,5047,00:02.6439398
680.1525,592.926666666667,0.420654296875,6903,5320,00:02.6592600
679.155,592.926666666667,0.429931640625,6966,5631,00:02.6747664
678.015,591.66,0.489990234375,7002,5682,00:02.6903857
677.0175,588.113333333333,0.571044921875,7039,5734,00:02.6903857
676.7325,586.846666666667,0.589599609375,7039,5734,00:02.6969097
676.7325,585.326666666667,0.608154296875,7039,5734,00:02.7126148
676.7325,577.093333333333,0.676513671875,7073,5784,00:02.7282193
678.1575,565.06,0.7421875,7112,5841,00:02.7438586
679.0125,558.346666666667,0.77685546875,7112,5841,00:02.7438586
679.44,555.053333333333,0.7802734375,7147,5892,00:02.7594099
681.0075,539.853333333333,0.789794921875,7090,5918,00:02.7750288
681.72,514.52,0.831787109375,7026,5950,00:02.7750288
681.5775,509.2,0.835693359375,7015,6042,00:02.7906504
680.865,489.186666666667,0.854248046875,6910,6103,00:02.7971613
680.58,479.18,0.856689453125,6843,6145,00:02.8128003
680.4375,467.273333333333,0.8447265625,6754,6205,00:02.8128003
680.4375,463.346666666667,0.8564453125,6752,6294,00:02.8284183
680.865,450.68,0.904296875,6628,6394,00:02.8440422
682.1475,439.28,0.908935546875,6479,6534,00:02.8596686
683.2875,433.2,0.92138671875,6460,6555,00:02.8753273
684.855,425.726666666667,0.935791015625,6332,6702,00:02.8974251
685.71,421.673333333333,0.939697265625,6274,6778,00:02.8974251
685.8525,420.153333333333,0.941650390625,6274,6778,00:02.9130760
686.4225,412.806666666667,0.967041015625,6203,6880,00:02.9286788
686.1375,410.146666666667,0.967041015625,6148,6969,00:02.9286788
686.1375,409.766666666667,0.967041015625,6127,7005,00:02.9443557
685.995,408.88,0.967041015625,6093,7065,00:02.9599838
685.8525,408.626666666667,0.967041015625,6093,7065,00:02.9599838
685.5675,408.12,0.967041015625,6064,7119,00:02.9761027
685.5675,407.74,0.968994140625,6100,7189,00:02.9976872
685.5675,407.613333333333,0.968994140625,6100,7189,00:02.9976872
685.425,407.486666666667,0.97314453125,6100,7189,00:02.9976872
685.425,407.486666666667,0.97314453125,6100,7189,00:03.0133640
685.425,407.486666666667,0.97314453125,6100,7189,00:03.0133640
685.425,407.486666666667,0.97314453125,6147,7222,00:03.0289535
685.2825,407.36,0.97509765625,6147,7222,00:03.0445678
685.2825,407.36,0.97509765625,6147,7222,00:03.0601850
684.9975,407.233333333333,0.97509765625,6132,7252,00:03.0758517
684.855,406.98,0.96923828125,6126,7220,00:03.0758517
684.855,406.98,0.96923828125,6126,7220,00:03.0914360
684.855,406.98,0.96923828125,6126,7220,00:03.1136082
684.9975,406.98,0.96923828125,6113,7247,00:03.1292656
684.9975,407.106666666667,0.977783203125,6074,7331,00:03.1292656
684.9975,407.106666666667,0.977783203125,6074,7331,00:03.1448385
684.9975,406.853333333333,0.977783203125,6074,7331,00:03.1606180
685.14,406.6,0.977783203125,6074,7331,00:03.1760826
685.425,406.473333333333,0.977783203125,6086,7304,00:03.1760826
685.425,406.473333333333,0.977783203125,6086,7304,00:03.1917044
685.425,406.22,0.974853515625,6086,7304,00:03.1917044
685.5675,406.093333333333,0.971923828125,6086,7304,00:03.1982120
685.71,406.093333333333,0.96923828125,6086,7304,00:03.2138957
686.4225,406.093333333333,0.96923828125,6086,7304,00:03.2295153
686.7075,406.093333333333,0.96923828125,6086,7304,00:03.2295153
687.135,406.346666666667,0.96923828125,6086,7304,00:03.2451358
687.705,406.6,0.96923828125,6086,7304,00:03.2607721
688.275,406.726666666667,0.982421875,6062,7357,00:03.2764045
689.5575,406.853333333333,0.982421875,6013,7326,00:03.2919566
690.6975,406.6,0.982421875,5997,7364,00:03.3141972
692.9775,406.6,0.982421875,5949,7486,00:03.3141972
693.405,406.6,0.984375,5949,7486,00:03.3297801
694.4025,406.726666666667,0.984375,5936,7524,00:03.3457080
696.825,407.36,0.986328125,5936,7524,00:03.3610263
697.395,407.613333333333,0.986328125,5936,7524,00:03.3610263
698.82,407.866666666667,0.986328125,5936,7524,00:03.3766452
705.2325,409.386666666667,0.98828125,5990,7381,00:03.3988479
713.07,411.54,0.990234375,5948,7491,00:03.3988479
714.3525,411.92,0.990234375,5937,7520,00:03.4144863
718.2,413.06,0.990234375,6109,7616,00:03.4301057
726.6075,416.226666666667,0.990234375,6217,7675,00:03.4457220
727.89,416.733333333333,0.990234375,6217,7675,00:03.4457220
733.02,418.38,0.9921875,6276,7707,00:03.4614367
739.86,420.406666666667,0.9921875,6447,7797,00:03.4769730
745.1325,421.926666666667,0.9921875,6447,7797,00:03.4769730
748.695,422.686666666667,0.9921875,6447,7797,00:03.4991353
754.68,423.7,0.9921875,6436,7828,00:03.4991353
757.245,423.953333333333,0.9921875,6413,7893,00:03.5147967
762.5175,424.08,0.9921875,6405,7917,00:03.5304311
768.075,423.953333333333,0.9921875,6381,7991,00:03.5460064
773.9175,423.573333333333,0.9921875,6253,8025,00:03.5460064
775.3425,423.446666666667,0.9921875,6192,8032,00:03.5616258
780.045,422.813333333333,0.9921875,6192,8032,00:03.5772468
784.605,422.56,0.9921875,6294,8072,00:03.5993926
794.4375,422.306666666667,0.9970703125,6487,8265,00:03.5993926
797.145,422.18,0.9970703125,6487,8265,00:03.6150321
800.565,422.18,0.9970703125,6472,8333,00:03.6150321
801.705,422.18,0.9970703125,6528,8392,00:03.6306675
806.265,422.18,0.9892578125,6569,8451,00:03.6306675
807.5475,422.18,0.986083984375,6565,8479,00:03.6462851
810.54,422.053333333333,0.99267578125,6550,8574,00:03.6619071
816.3825,421.926666666667,0.995361328125,6541,8651,00:03.6619071
816.9525,421.926666666667,0.995361328125,6541,8651,00:03.6775303
818.805,421.926666666667,0.995361328125,6541,8651,00:03.6992601
823.365,421.673333333333,0.998291015625,6541,8651,00:03.7148982
824.22,421.546666666667,0.99560546875,6447,8665,00:03.7308124
825.7875,421.546666666667,0.98388671875,6440,8742,00:03.7463790
826.785,421.546666666667,0.98095703125,6440,8742,00:03.7463790
827.07,421.546666666667,0.984619140625,6496,8749,00:03.7619937
