X, Y, Pressure, TiltX, TiltY, Time
576.555,572.786666666667,0.0732421875,9375,10179,00:01.9243667
577.5525,572.533333333333,0.0771484375,9359,10184,00:01.9400357
579.8325,571.773333333333,0.384765625,9359,10184,00:01.9556291
582.825,570.886666666667,0.390380859375,9302,10199,00:01.9708654
585.8175,570.126666666667,0.422607421875,9254,10210,00:01.9864519
588.81,569.493333333333,0.48974609375,9254,10210,00:01.9929578
590.52,569.366666666667,0.529052734375,9254,10210,00:02.0085824
595.08,569.113333333333,0.595703125,9254,10210,00:02.0085824
598.215,569.113333333333,0.620849609375,9254,10210,00:02.0242054
603.345,568.986666666667,0.654052734375,9222,10216,00:02.0398305
610.47,568.48,0.693359375,9173,10223,00:02.0554515
619.4475,567.846666666667,0.73193359375,9173,10223,00:02.0554515
621.87,567.593333333333,0.74169921875,9173,10223,00:02.0710690
628.995,567.086666666667,0.75537109375,9132,10228,00:02.0710690
631.56,566.833333333333,0.759521484375,9119,10229,00:02.0932135
643.1025,566.326666666667,0.786376953125,9119,10229,00:02.0932135
645.9525,566.2,0.786376953125,9124,10280,00:02.1088396
657.9225,565.82,0.792236328125,9061,10284,00:02.1088396
661.2,565.82,0.80126953125,9061,10284,00:02.1244722
673.5975,565.693333333333,0.826416015625,9019,10285,00:02.1244722
676.7325,565.693333333333,0.828369140625,8993,10285,00:02.1400935
687.2775,565.82,0.84326171875,9024,10285,00:02.1400935
690.555,565.82,0.850341796875,9041,10285,00:02.1557179
700.6725,565.82,0.857421875,9002,10285,00:02.1713980
714.3525,565.693333333333,0.857421875,8975,10285,00:02.1713980
717.4875,565.566666666667,0.857421875,8927,10284,00:02.1873145
727.1775,565.186666666667,0.859619140625,8884,10281,00:02.1933305
730.3125,564.933333333333,0.859619140625,8884,10281,00:02.2090285
743.9925,564.3,0.859619140625,8833,10329,00:02.2246577
755.3925,563.666666666667,0.857177734375,8923,10336,00:02.2406118
765.3675,562.906666666667,0.86181640625,8851,10331,00:02.2406118
768.075,562.78,0.86181640625,8834,10276,00:02.2560447
775.6275,562.146666666667,0.85400390625,8819,10274,00:02.2560447
777.765,561.893333333333,0.85400390625,8819,10274,00:02.2715827
783.18,561.513333333333,0.85400390625,8783,10268,00:02.2935749
791.0175,561.006666666667,0.85400390625,8741,10261,00:02.3091992
802.7025,560.373333333333,0.85400390625,8758,10264,00:02.3091992
804.1275,560.246666666667,0.85400390625,8708,10254,00:02.3248263
808.9725,560.246666666667,0.85400390625,8660,10243,00:02.3404466
819.5175,559.36,0.858642578125,8689,10250,00:02.3560754
828.3525,558.346666666667,0.8427734375,8617,10231,00:02.3717604
836.6175,557.46,0.83447265625,8595,10224,00:02.3938275
844.5975,556.066666666667,0.82568359375,8577,10277,00:02.4094557
854.2875,554.166666666667,0.82568359375,8459,10296,00:02.4250801
860.985,553.026666666667,0.82080078125,8480,10248,00:02.4407094
866.115,552.14,0.82275390625,8513,10261,00:02.4407094
867.255,551.886666666667,0.82470703125,8513,10261,00:02.4565709
870.39,551.506666666667,0.82470703125,8513,10261,00:02.4722181
873.81,551.253333333333,0.82666015625,8493,10253,00:02.4875620
876.945,551,0.82666015625,8493,10253,00:02.4875620
877.515,550.873333333333,0.82666015625,8481,10248,00:02.4940784
878.085,550.873333333333,0.82666015625,8502,10200,00:02.5101171
879.6525,550.873333333333,0.82666015625,8526,10140,00:02.5258194
880.5075,551,0.83056640625,8536,10075,00:02.5411433
880.935,551,0.83251953125,8502,10001,00:02.5411433
880.935,551,0.83251953125,8471,9986,00:02.5566804
880.935,551,0.83056640625,8462,9981,00:02.5721977
880.935,551,0.83056640625,8418,9956,00:02.5878267
880.7925,550.746666666667,0.83056640625,8405,9948,00:02.6099734
880.7925,550.24,0.83056640625,8444,9900,00:02.6099734
880.7925,550.24,0.83056640625,8417,9944,00:02.6256392
881.22,549.733333333333,0.83056640625,8426,9949,00:02.6412178
881.3625,549.48,0.83251953125,8379,9984,00:02.6412178
881.3625,549.48,0.83251953125,8369,9978,00:02.6568385
881.9325,548.846666666667,0.83251953125,8350,9965,00:02.6725280
881.9325,548.34,0.83447265625,8271,9977,00:02.6944120
881.9325,547.833333333333,0.83447265625,8244,9957,00:02.7118464
882.5025,546.566666666667,0.83447265625,8193,9915,00:02.7295838
882.7875,544.92,0.83447265625,8146,9872,00:02.7452003
882.5025,543.273333333333,0.83447265625,8119,9845,00:02.7608251
881.9325,540.613333333333,0.83447265625,8063,9781,00:02.7764463
881.6475,537.7,0.83447265625,8018,9723,00:02.7764463
881.6475,536.94,0.83447265625,8031,9740,00:02.7920689
880.7925,534.66,0.83447265625,8016,9806,00:02.7945744
880.7925,533.9,0.83447265625,8025,9817,00:02.8102682
880.7925,530.986666666667,0.83447265625,8056,9853,00:02.8102682
880.7925,530.226666666667,0.83447265625,8107,9807,00:02.8258533
879.795,527.946666666667,0.83447265625,8183,9719,00:02.8258533
879.795,527.186666666667,0.83447265625,8165,9699,00:02.8415011
878.7975,524.4,0.83447265625,8172,9618,00:02.8570762
877.3725,520.093333333333,0.83447265625,8099,9503,00:02.8570762
876.945,518.953333333333,0.83447265625,8081,9470,00:02.8726864
876.09,515.28,0.83447265625,8072,9450,00:02.8726864
875.6625,514.14,0.83447265625,8072,9450,00:02.8883065
874.95,510.846666666667,0.83447265625,8088,9482,00:02.9104391
873.3825,504.64,0.83447265625,8101,9507,00:02.9260584
872.1,497.293333333333,0.83447265625,8048,9397,00:02.9260584
872.1,495.9,0.832275390625,8042,9381,00:02.9416911
871.6725,492.353333333333,0.829833984375,8042,9381,00:02.9416911
871.6725,491.213333333333,0.826171875,8048,9396,00:02.9573128
871.53,488.046666666667,0.81787109375,8065,9436,00:02.9573128
871.53,487.033333333333,0.82080078125,8065,9436,00:02.9730009
871.53,483.993333333333,0.832763671875,8065,9436,00:02.9730009
871.53,482.98,0.832763671875,8058,9419,00:02.9885569
871.53,479.56,0.832763671875,8035,9361,00:02.9950701
871.6725,477.026666666667,0.832763671875,8021,9321,00:03.0107082
872.2425,471.96,0.832763671875,8017,9308,00:03.0263296
872.955,467.146666666667,0.832763671875,8034,9358,00:03.0419508
873.525,462.333333333333,0.829833984375,8034,9358,00:03.0419508
873.6675,460.94,0.829833984375,8034,9358,00:03.0575632
873.9525,456.506666666667,0.829833984375,8027,9339,00:03.0734428
874.5225,450.173333333333,0.832275390625,8027,9339,00:03.0953723
874.95,444.473333333333,0.82958984375,8042,9382,00:03.1112835
875.9475,435.606666666667,0.82958984375,8032,9352,00:03.1266540
876.8025,428.893333333333,0.82958984375,8032,9353,00:03.1266540
877.0875,427.5,0.82958984375,8032,9353,00:03.1422476
877.8,423.446666666667,0.82958984375,8042,9381,00:03.1422476
878.085,422.053333333333,0.82958984375,8042,9381,00:03.1578660
878.7975,417.746666666667,0.82958984375,8034,9358,00:03.1734884
879.9375,408.626666666667,0.82958984375,8009,9279,00:03.1734884
880.2225,406.853333333333,0.82958984375,8009,9279,00:03.1891086
881.0775,402.166666666667,0.82958984375,8025,9333,00:03.1956176
881.79,398.746666666667,0.82958984375,8025,9333,00:03.2112486
883.215,393.426666666667,0.82958984375,7966,9371,00:03.2268707
885.9225,384.053333333333,0.82763671875,7829,9422,00:03.2268707
886.4925,382.533333333333,0.82763671875,7829,9422,00:03.2424972
888.915,376.58,0.82763671875,7822,9401,00:03.2424972
889.3425,374.68,0.82763671875,7759,9388,00:03.2581082
890.4825,370.753333333333,0.82763671875,7749,9350,00:03.2581082
890.91,368.853333333333,0.82763671875,7746,9337,00:03.2737395
892.905,362.266666666667,0.831787109375,7746,9337,00:03.2893498
894.7575,357.453333333333,0.821044921875,7743,9326,00:03.3115016
897.8925,348.586666666667,0.835205078125,7799,9224,00:03.3273375
900.315,342.886666666667,0.840087890625,7799,9224,00:03.3273375
900.6,341.746666666667,0.840087890625,7801,9237,00:03.3430882
902.31,338.96,0.840087890625,7801,9237,00:03.3430882
902.4525,338.2,0.842041015625,7865,9224,00:03.3587707
902.7375,335.54,0.842041015625,7859,9186,00:03.3741203
902.31,331.486666666667,0.843994140625,7903,9110,00:03.3896040
902.025,326.926666666667,0.845947265625,7906,9138,00:03.3961178
902.1675,325.026666666667,0.847900390625,7835,9163,00:03.4117934
901.8825,321.986666666667,0.849853515625,7841,9200,00:03.4117934
902.31,321.353333333333,0.849853515625,7845,9223,00:03.4273689
902.31,319.453333333333,0.851806640625,7856,9277,00:03.4429909
903.165,317.933333333333,0.851806640625,7873,9343,00:03.4586178
903.45,316.793333333333,0.853759765625,7874,9345,00:03.4586178
903.3075,316.54,0.853759765625,7868,9325,00:03.4742415
903.3075,315.78,0.853759765625,7856,9277,00:03.4742415
903.0225,315.653333333333,0.853759765625,7852,9258,00:03.4899073
902.4525,314.64,0.855712890625,7843,9213,00:03.5120645
902.31,312.74,0.855712890625,7834,9152,00:03.5120645
902.7375,312.613333333333,0.855712890625,7832,9138,00:03.5276858
903.0225,311.853333333333,0.855712890625,7829,9107,00:03.5433072
903.5925,310.713333333333,0.857666015625,7829,9107,00:03.5433072
903.735,310.586666666667,0.857666015625,7752,9093,00:03.5592482
903.8775,309.826666666667,0.859619140625,7751,9079,00:03.5745503
904.305,309.066666666667,0.859619140625,7703,9105,00:03.5905653
904.305,308.56,0.863525390625,7705,9139,00:03.6124981
904.305,308.56,0.86767578125,7720,9246,00:03.6281484
904.305,308.56,0.87158203125,7723,9260,00:03.6438566
904.4475,309.066666666667,0.876708984375,7725,9268,00:03.6591230
903.5925,310.966666666667,0.885009765625,7661,9268,00:03.6746830
902.595,312.613333333333,0.891357421875,7658,9248,00:03.6746830
902.7375,312.993333333333,0.891357421875,7658,9248,00:03.6903048
901.8825,314.133333333333,0.895751953125,7658,9248,00:03.6968348
901.8825,314.133333333333,0.895751953125,7658,9248,00:03.7125119
900.7425,314.893333333333,0.897705078125,7717,9215,00:03.7125119
900.4575,315.02,0.897705078125,7772,9233,00:03.7280861
899.175,315.526666666667,0.899658203125,7774,9244,00:03.7437079
897.465,315.526666666667,0.89306640625,7774,9244,00:03.7437079
897.0375,315.526666666667,0.895751953125,7774,9244,00:03.7593296
894.7575,315.653333333333,0.9072265625,7777,9257,00:03.7593296
894.1875,315.653333333333,0.909423828125,7777,9257,00:03.7749501
892.4775,315.78,0.911376953125,7777,9257,00:03.7749501
891.765,315.906666666667,0.911376953125,7777,9257,00:03.7905713
888.63,316.286666666667,0.915771484375,7779,9269,00:03.8127654
884.355,316.666666666667,0.917724609375,7730,9280,00:03.8283301
879.9375,317.3,0.919677734375,7787,9293,00:03.8439523
874.38,318.06,0.919677734375,7787,9293,00:03.8595781
867.6825,319.2,0.919677734375,7746,9340,00:03.8752222
861.555,320.213333333333,0.919677734375,7750,9356,00:03.8909162
855.57,321.353333333333,0.919677734375,7758,9385,00:03.8969321
854.2875,321.606666666667,0.921630859375,7758,9385,00:03.9128361
847.305,323.506666666667,0.921630859375,7704,9402,00:03.9282764
839.4675,325.026666666667,0.921630859375,7502,9453,00:03.9282764
837.615,325.66,0.921630859375,7421,9457,00:03.9438712
832.6275,327.18,0.923828125,7406,9395,00:03.9594669
825.645,328.953333333333,0.926025390625,7406,9395,00:03.9750562
816.6675,330.726666666667,0.927978515625,7300,9423,00:03.9750562
814.53,331.233333333333,0.927978515625,7231,9470,00:03.9906772
809.2575,332.5,0.927978515625,7226,9452,00:04.0129749
795.8625,334.526666666667,0.927978515625,7219,9416,00:04.0129749
793.725,334.78,0.927978515625,7161,9430,00:04.0284376
788.31,335.92,0.927978515625,7220,9416,00:04.0440597
779.6175,336.806666666667,0.927978515625,7220,9416,00:04.0596811
768.7875,337.693333333333,0.926025390625,7470,9354,00:04.0782795
758.1,339.593333333333,0.926025390625,7584,9402,00:04.0975161
749.4075,341.366666666667,0.926025390625,7606,9476,00:04.1131554
739.575,343.52,0.926025390625,7606,9476,00:04.1287711
730.17,345.293333333333,0.926025390625,7606,9476,00:04.1443863
720.6225,348.46,0.926025390625,7330,9472,00:04.1443863
718.3425,349.22,0.926025390625,7330,9472,00:04.1601655
711.36,350.866666666667,0.926025390625,7275,9529,00:04.1601655
708.795,351.626666666667,0.926025390625,7280,9547,00:04.1760142
701.67,353.78,0.927978515625,7290,9582,00:04.1760142
699.2475,354.413333333333,0.927978515625,7282,9555,00:04.1915837
690.84,356.313333333333,0.925048828125,7269,9508,00:04.1975888
685.425,357.2,0.9228515625,7269,9508,00:04.2132239
675.5925,358.846666666667,0.9208984375,7275,9528,00:04.2289097
664.4775,360.873333333333,0.9208984375,7460,9539,00:04.2289097
661.9125,361.506666666667,0.9189453125,7522,9539,00:04.2445120
654.075,363.533333333333,0.9189453125,7571,9520,00:04.2601382
642.96,366.32,0.9189453125,7577,9536,00:04.2757036
633.555,369.106666666667,0.9169921875,7550,9453,00:04.2913250
623.7225,371.64,0.9169921875,7557,9477,00:04.3135975
611.1825,374.553333333333,0.9150390625,7577,9537,00:04.3135975
609.1875,374.933333333333,0.9150390625,7577,9537,00:04.3291227
602.9175,375.693333333333,0.9130859375,7572,9522,00:04.3447177
596.22,376.58,0.9130859375,7572,9522,00:04.3603355
590.0925,377.593333333333,0.9130859375,7560,9487,00:04.3759525
585.96,378.1,0.9130859375,7560,9487,00:04.3759525
584.9625,378.353333333333,0.9130859375,7560,9487,00:04.3915840
581.4,378.86,0.9130859375,7560,9487,00:04.3980973
579.69,379.113333333333,0.9130859375,7560,9487,00:04.4137355
577.5525,379.493333333333,0.9111328125,7620,9466,00:04.4137355
577.125,379.62,0.9111328125,7620,9466,00:04.4296036
575.8425,380,0.9091796875,7625,9482,00:04.4449800
575.7,380.886666666667,0.9091796875,7779,9512,00:04.4605881
575.2725,382.66,0.9072265625,7927,9468,00:04.4766348
575.13,385.193333333333,0.9072265625,7945,9508,00:04.4922322
575.8425,388.613333333333,0.9072265625,7933,9482,00:04.5139169
577.2675,394.566666666667,0.9072265625,7966,9552,00:04.5295091
578.1225,397.1,0.9072265625,7972,9563,00:04.5295091
