X, Y, Pressure, TiltX, TiltY, Time
576.1275,372.526666666667,0.54443359375,10004,9349,00:04.3500882
575.415,373.16,0.55517578125,10004,9349,00:04.3594115
575.985,376.706666666667,0.498779296875,9000,9000,00:04.3767193
579.8325,384.94,0.48779296875,10610,10451,00:04.3787384
583.5375,392.54,0.50537109375,10610,10451,00:04.4050940
591.945,406.473333333333,0.531005859375,10598,10465,00:04.4203058
599.4975,417.746666666667,0.539306640625,10555,10511,00:04.4348613
605.625,427.246666666667,0.547119140625,10367,10328,00:04.4361875
607.05,429.4,0.547119140625,10332,10269,00:04.4556970
610.47,435.1,0.549072265625,10246,10087,00:04.4641945
575.2725,377.34,0.198974609375,9910,9797,00:04.8867264
575.2725,377.34,0.2021484375,9910,9797,00:04.8925662
574.9875,377.213333333333,0.313720703125,10327,10233,00:04.9077980
574.7025,378.226666666667,0.31884765625,10487,10412,00:04.9232493
573.8475,380.633333333333,0.321533203125,10529,10481,00:04.9379970
572.7075,385.446666666667,0.3662109375,10529,10481,00:04.9464955
570.855,390.64,0.3876953125,10529,10481,00:04.9527446
570.1425,392.666666666667,0.39453125,10529,10481,00:04.9674283
567.2925,401.153333333333,0.418212890625,10529,10481,00:04.9684314
566.4375,403.306666666667,0.424072265625,10529,10481,00:04.9834310
564.3,410.146666666667,0.44091796875,10544,10466,00:04.9978642
560.7375,418.633333333333,0.4716796875,10544,10466,00:05.0128924
556.89,426.106666666667,0.498291015625,10559,10450,00:05.0128924
555.75,428.133333333333,0.502685546875,10559,10450,00:05.0299525
552.7575,433.58,0.514404296875,10620,10379,00:05.0439024
548.625,440.546666666667,0.525634765625,10635,10361,00:05.0439024
547.77,442.066666666667,0.5283203125,10635,10361,00:05.0596862
545.205,446.5,0.536376953125,10650,10342,00:05.0620389
544.4925,447.893333333333,0.53857421875,10669,10317,00:05.0757903
542.64,452.073333333333,0.545166015625,10723,10242,00:05.0905751
540.36,456.126666666667,0.559814453125,10713,10016,00:05.1116728
539.6475,458.153333333333,0.573486328125,10774,9895,00:05.1281575
539.9325,458.66,0.58349609375,10802,9831,00:05.1441587
540.645,459.04,0.59228515625,10829,9762,00:05.1581180
543.6375,459.166666666667,0.600830078125,10839,9734,00:05.1605307
544.4925,459.04,0.600830078125,10839,9734,00:05.1713376
548.055,458.66,0.605712890625,10839,9734,00:05.1870132
556.89,457.9,0.610595703125,10846,9714,00:05.1901623
559.0275,457.646666666667,0.612548828125,10846,9714,00:05.2108380
568.005,456.76,0.617431640625,10866,9654,00:05.2108380
570.7125,456.506666666667,0.617431640625,10866,9654,00:05.2271368
578.55,455.873333333333,0.617431640625,10873,9630,00:05.2425082
588.81,454.733333333333,0.617431640625,10747,9628,00:05.2484851
594.225,454.226666666667,0.617431640625,10747,9628,00:05.2494879
596.9325,453.846666666667,0.617431640625,10747,9628,00:05.2604790
604.3425,452.453333333333,0.61474609375,10747,9628,00:05.2827995
608.9025,451.44,0.60986328125,10690,9607,00:05.2919817
611.325,450.933333333333,0.60009765625,10690,9607,00:05.2977057
543.21,459.926666666667,0.0439453125,10220,9512,00:06.6145927
543.21,459.926666666667,0.046142578125,9000,9000,00:06.6328131
543.21,459.926666666667,0.162109375,11154,9671,00:06.6464607
544.4925,459.293333333333,0.134033203125,11154,9671,00:06.6624058
545.775,458.406666666667,0.18017578125,11154,9671,00:06.6763648
547.2,457.646666666667,0.21826171875,11149,9690,00:06.6793592
547.6275,457.393333333333,0.22900390625,11149,9690,00:06.6883411
549.3375,456.38,0.26171875,11143,9710,00:06.7063620
551.9025,455.366666666667,0.280029296875,11143,9710,00:06.7124227
554.61,453.973333333333,0.2841796875,11143,9710,00:06.7392594
559.74,451.06,0.2861328125,11143,9710,00:06.7442535
560.7375,450.426666666667,0.2900390625,11143,9710,00:06.7492353
564.1575,448.653333333333,0.298828125,11143,9710,00:06.7681835
568.7175,446.246666666667,0.298828125,11138,9730,00:06.7712323
570.1425,445.613333333333,0.298828125,11138,9730,00:06.7831450
574.7025,443.46,0.301025390625,11131,9754,00:06.8015368
580.83,440.293333333333,0.309814453125,11095,9863,00:06.8108633
588.525,435.1,0.306884765625,11051,9977,00:06.8158346
590.0925,434.086666666667,0.306884765625,11051,9977,00:06.8317941
597.93,429.146666666667,0.309814453125,11051,9977,00:06.8577805
604.0575,425.093333333333,0.22314453125,11057,9962,00:06.8647590
580.4025,370.88,0.0458984375,10878,10260,00:08.9843783
582.6825,369.866666666667,0.09912109375,11064,10391,00:08.9985979
585.675,368.22,0.167236328125,11052,10409,00:09.0140075
589.38,366.7,0.174072265625,11202,10607,00:09.0291942
593.94,365.18,0.181884765625,11317,10695,00:09.0436907
599.2125,363.153333333333,0.189697265625,11371,10737,00:09.0582434
604.3425,361.253333333333,0.198486328125,11371,10737,00:09.0778119
609.7575,359.1,0.207275390625,11357,10758,00:09.0977390
618.8775,355.806666666667,0.216064453125,11357,10758,00:09.1119077
624.2925,353.906666666667,0.221923828125,11341,10781,00:09.1129594
625.4325,353.4,0.224365234375,11323,10807,00:09.1267673
628.995,351.373333333333,0.231689453125,11267,10883,00:09.1434277
633.84,348.84,0.240478515625,11235,10923,00:09.1444623
635.265,348.206666666667,0.240478515625,11211,10952,00:09.1593834
639.1125,346.56,0.246337890625,11175,10994,00:09.1697971
641.6775,345.42,0.246337890625,11175,10994,00:09.1879436
648.8025,342.253333333333,0.250244140625,11175,10994,00:09.2041199
652.7925,340.353333333333,0.256103515625,11142,11030,00:09.2051177
653.79,339.846666666667,0.2587890625,11142,11030,00:09.2169985
656.64,338.58,0.266845703125,11075,11004,00:09.2169985
657.78,338.073333333333,0.269775390625,11122,11050,00:09.2324899
661.2,336.806666666667,0.278564453125,11122,11050,00:09.2473483
665.76,335.033333333333,0.282470703125,11104,11068,00:09.2483758
666.9,334.653333333333,0.282470703125,11079,11094,00:09.2624513
670.035,333.513333333333,0.28466796875,11079,11094,00:09.2763259
674.025,331.613333333333,0.28662109375,11039,11132,00:09.2831592
