X, Y, Pressure, TiltX, TiltY, Time
271.1775,469.426666666667,0.412109375,10449,8878,00:01.5308179
269.04,469.806666666667,0.449462890625,10449,8878,00:01.5430503
269.04,469.806666666667,0.449462890625,10449,8878,00:01.5584252
269.4675,469.806666666667,0.43896484375,10449,8878,00:01.5731921
271.32,469.553333333333,0.43505859375,10449,8878,00:01.5909576
273.315,469.426666666667,0.43505859375,10449,8878,00:01.5919561
273.885,469.426666666667,0.4375,10449,8878,00:01.6061210
275.88,469.426666666667,0.44921875,10449,8878,00:01.6146939
278.16,469.426666666667,0.46533203125,10449,8878,00:01.6261689
279.015,469.426666666667,0.47021484375,10449,8878,00:01.6424374
284.715,469.933333333333,0.493408203125,10506,8873,00:01.6519313
289.845,470.06,0.500244140625,10506,8873,00:01.6668591
300.105,470.313333333333,0.502197265625,10506,8873,00:01.6824318
310.2225,470.06,0.504150390625,10506,8873,00:01.6836035
312.93,469.933333333333,0.504150390625,10506,8873,00:01.7027588
323.9025,469.553333333333,0.506103515625,10506,8873,00:01.7050652
327.0375,469.426666666667,0.506103515625,10506,8873,00:01.7176754
337.155,468.793333333333,0.50341796875,10506,8873,00:01.7187195
340.1475,468.54,0.50341796875,10506,8873,00:01.7369067
350.55,468.033333333333,0.50341796875,10506,8873,00:01.7499505
365.94,467.4,0.5166015625,10506,8873,00:01.7549810
370.0725,467.146666666667,0.525146484375,10506,8873,00:01.7639105
382.755,466.766666666667,0.55419921875,10506,8873,00:01.7858550
401.1375,466.26,0.573974609375,10506,8873,00:01.7936412
420.945,465.5,0.590576171875,10506,8873,00:01.8084041
441.18,464.36,0.595458984375,10503,8846,00:01.8224231
462.4125,462.586666666667,0.597412109375,10502,8832,00:01.8453132
489.915,460.306666666667,0.599853515625,10565,8810,00:01.8613207
518.7,459.166666666667,0.607666015625,10565,8810,00:01.8756588
541.6425,459.04,0.620849609375,10565,8810,00:01.8857689
558.7425,459.293333333333,0.634033203125,10565,8810,00:01.8913142
564.4425,459.42,0.638427734375,10565,8810,00:01.9163760
588.24,459.673333333333,0.658935546875,10511,8817,00:01.9211562
606.195,460.053333333333,0.673828125,10511,8817,00:01.9357979
636.69,460.053333333333,0.681396484375,10511,8817,00:01.9513019
661.3425,459.546666666667,0.683837890625,10511,8817,00:01.9656351
686.4225,458.786666666667,0.685791015625,10511,8817,00:01.9809593
711.645,458.153333333333,0.68994140625,10511,8817,00:01.9881476
718.2,458.153333333333,0.68994140625,10511,8817,00:01.9971324
736.725,458.026666666667,0.69189453125,10511,8817,00:02.0116275
767.3625,458.406666666667,0.69189453125,10511,8817,00:02.0340330
791.16,459.42,0.69384765625,10511,8817,00:02.0483490
820.9425,460.94,0.69580078125,10511,8817,00:02.0512679
826.9275,461.32,0.69580078125,10511,8817,00:02.0572840
838.6125,461.953333333333,0.699951171875,10511,8817,00:02.0640320
844.5975,462.206666666667,0.699951171875,10511,8817,00:02.0800163
868.5375,463.473333333333,0.701904296875,10512,8831,00:02.0949928
891.765,464.74,0.701904296875,10512,8831,00:02.1103416
914.85,466.006666666667,0.703857421875,10514,8847,00:02.1235494
938.0775,467.4,0.705810546875,10518,8904,00:02.1377334
961.02,468.793333333333,0.707763671875,10520,8952,00:02.1532854
983.9625,469.68,0.707763671875,10520,8995,00:02.1699495
1005.765,470.44,0.707763671875,10520,9013,00:02.1850779
1026.1425,471.2,0.707763671875,10520,9026,00:02.1850779
1031.13,471.326666666667,0.707763671875,10520,9026,00:02.2002732
1045.38,472.086666666667,0.707763671875,10520,9026,00:02.2150005
1062.48,473.353333333333,0.709716796875,10520,9026,00:02.2355450
1081.005,475.253333333333,0.709716796875,10520,9026,00:02.2451123
1094.5425,476.646666666667,0.709716796875,10470,9025,00:02.2527257
1097.82,476.9,0.709716796875,10470,9025,00:02.2662325
1106.085,477.533333333333,0.704833984375,10470,9025,00:02.2883449
1113.6375,478.166666666667,0.69140625,10470,9025,00:02.2966954
1121.9025,479.433333333333,0.4736328125,10470,9025,00:02.3025114
1107.3675,481.586666666667,0,11175,9189,00:03.6726231
1106.7975,481.713333333333,0,11175,9189,00:03.6832903
1106.2275,481.713333333333,0.231689453125,11175,9189,00:03.6984693
1106.085,481.333333333333,0.26611328125,11175,9189,00:03.7144154
1106.5125,480.066666666667,0.25,11175,9189,00:03.7299105
1107.6525,478.926666666667,0.227783203125,11175,9189,00:03.7454570
1108.935,477.66,0.22265625,11175,9189,00:03.7686059
1110.075,476.52,0.22265625,11175,9189,00:03.7823998
1110.075,476.52,0.2255859375,11175,9189,00:03.7981737
1110.075,476.52,0.264404296875,11175,9189,00:03.8003620
1110.075,476.52,0.28271484375,11175,9189,00:03.8137473
1110.36,476.393333333333,0.319091796875,11175,9189,00:03.8286369
1110.93,476.14,0.34619140625,11175,9189,00:03.8409654
1112.07,475.886666666667,0.35888671875,11175,9189,00:03.8562534
1113.0675,475.76,0.36083984375,11175,9189,00:03.8755497
1113.9225,475.633333333333,0.36083984375,11175,9189,00:03.8799229
1114.2075,475.506666666667,0.36083984375,11175,9189,00:03.8878971
1114.4925,475.506666666667,0.365478515625,11175,9189,00:03.9041262
1115.0625,475.38,0.369384765625,11173,9210,00:03.9051235
1115.0625,475.38,0.369384765625,11173,9210,00:03.9240869
1115.6325,475.126666666667,0.373779296875,11173,9210,00:03.9314708
1116.2025,474.873333333333,0.388916015625,11173,9210,00:03.9555730
1116.4875,474.493333333333,0.43017578125,11173,9210,00:03.9716429
1116.4875,473.986666666667,0.443359375,11173,9210,00:03.9733970
1116.4875,473.986666666667,0.448486328125,11173,9210,00:03.9873823
1116.63,473.226666666667,0.46533203125,11173,9210,00:04.0042028
1116.345,472.34,0.48486328125,11173,9210,00:04.0173821
1115.775,471.2,0.47900390625,11173,9210,00:04.0302828
1114.7775,469.933333333333,0.47900390625,11171,9233,00:04.0345864
1114.4925,469.68,0.47900390625,11169,9256,00:04.0451443
1113.495,468.793333333333,0.48291015625,11167,9276,00:04.0510324
1113.21,468.54,0.48291015625,11165,9297,00:04.0594572
1111.9275,467.906666666667,0.488525390625,11156,9366,00:04.0765955
1110.36,467.146666666667,0.494384765625,11147,9427,00:04.0921681
1108.7925,466.513333333333,0.499267578125,11147,9427,00:04.1051841
1107.0825,465.88,0.509033203125,11147,9427,00:04.1213340
1105.3725,464.74,0.509033203125,11147,9427,00:04.1371415
1103.0925,463.726666666667,0.509033203125,11147,9427,00:04.1529127
1099.53,462.333333333333,0.51318359375,11028,9402,00:04.1670490
1096.2525,461.573333333333,0.5234375,11028,9402,00:04.1871325
1093.4025,460.94,0.5517578125,11028,9402,00:04.2037612
1089.9825,460.686666666667,0.566162109375,11028,9402,00:04.2037612
1089.4125,460.56,0.568359375,11028,9402,00:04.2196297
1087.56,460.56,0.5703125,11028,9402,00:04.2257246
1086.99,460.433333333333,0.5703125,11028,9402,00:04.2330928
1085.565,460.56,0.572998046875,11028,9402,00:04.2340900
